gene_name,pvalue,log2FoldChange,disease,cell_type
TMED7-TICAM2,0.000951042,0.30773663,ALS,iPSMN
SLC29A2,0.000956105,-0.146063971,ALS,iPSMN
DLG5,0.000958526,-0.092995642,ALS,iPSMN
SP8,0.000963459,-0.399980208,ALS,iPSMN
NAT8L,0.000973643,-0.108843967,ALS,iPSMN
HNRNPKP4,0.000977653,-0.256587096,ALS,iPSMN
SBF2,0.000990014,0.145369603,ALS,iPSMN
LATS2,0.000994262,0.126839996,ALS,iPSMN
CELSR2,0.001002832,-0.128012718,ALS,iPSMN
CCDC144B,0.001014547,-0.332852202,ALS,iPSMN
GALC,0.0010147,-0.132655743,ALS,iPSMN
SLC5A12,0.001019844,-0.553523761,ALS,iPSMN
UGCG,0.001025042,0.107736358,ALS,iPSMN
SNRPGP17,0.001050238,-0.719838847,ALS,iPSMN
DMAC2L,0.001054874,-0.127378447,ALS,iPSMN
MT3,0.001082645,-0.504313904,ALS,iPSMN
CAHM,0.001095697,0.166931874,ALS,iPSMN
KRT4,0.00112902,-0.9751468,ALS,iPSMN
BLOC1S2,0.001133163,0.097747654,ALS,iPSMN
DPY19L2P4,0.001148221,0.271973805,ALS,iPSMN
ANK2,0.001157476,-0.131580069,ALS,iPSMN
ARHGEF7-AS2,0.001158487,-0.178363153,ALS,iPSMN
AC084782.3,0.001159928,-0.395086188,ALS,iPSMN
INTS13,0.001180409,0.087713499,ALS,iPSMN
ANXA2R,0.001180487,-0.342787994,ALS,iPSMN
CDH19,0.001199432,0.929404987,ALS,iPSMN
AC025171.2,0.001218403,-0.609715637,ALS,iPSMN
ZNF844,0.001257117,0.202217074,ALS,iPSMN
AL356417.3,0.001260739,0.704115965,ALS,iPSMN
ST7-AS1,0.00126833,-0.2359643,ALS,iPSMN
AC022784.1,0.001288216,0.489262911,ALS,iPSMN
THORLNC,0.001290193,0.657244224,ALS,iPSMN
HHEX,0.001292856,-0.81475112,ALS,iPSMN
ACP5,0.001295273,0.481213573,ALS,iPSMN
MAB21L1,0.001301769,0.700265247,ALS,iPSMN
TNFSF9,0.001314524,0.28439292,ALS,iPSMN
HES6,0.001334776,-0.316514696,ALS,iPSMN
VWA5B1,0.001347346,-0.42890602,ALS,iPSMN
KCNT1,0.001350312,0.362188178,ALS,iPSMN
DPP8,0.001369918,0.070066126,ALS,iPSMN
NEUROD4,0.001373203,-0.491124235,ALS,iPSMN
PI16,0.00139659,0.838340029,ALS,iPSMN
ZNF528,0.00141859,0.230361605,ALS,iPSMN
SLCO1A2,0.001422649,-0.512775338,ALS,iPSMN
SHLD2,0.00142462,0.081692625,ALS,iPSMN
SLC25A10,0.001425156,-0.197085732,ALS,iPSMN
CRIP2,0.001427142,-0.183928429,ALS,iPSMN
FAM157C,0.001443462,-0.282794126,ALS,iPSMN
PIRT,0.001443673,-0.614813215,ALS,iPSMN
PYCR3,0.001476937,-0.175645007,ALS,iPSMN
EIF2AK3,0.001477503,0.108382403,ALS,iPSMN
AL049779.1,0.001488197,0.440238707,ALS,iPSMN
AC104521.1,0.001509078,-0.337612131,ALS,iPSMN
FAT2,0.001510155,0.727502014,ALS,iPSMN
MPND,0.0015141,-0.11597165,ALS,iPSMN
PRXL2B,0.00151662,-0.099353803,ALS,iPSMN
SNORC,0.001528799,-0.182288339,ALS,iPSMN
UQCRHL,0.001531577,0.153750741,ALS,iPSMN
LIMD2,0.001534337,-0.129367705,ALS,iPSMN
HNRNPA1P35,0.001537489,-0.652844855,ALS,iPSMN
NEUROG1,0.001564741,-0.481204603,ALS,iPSMN
CEP85L,0.001566509,0.162446591,ALS,iPSMN
SLC10A4,0.001574486,-0.25940821,ALS,iPSMN
AC093620.1,0.001576168,-0.28908498,ALS,iPSMN
DIO3,0.001578291,-0.543785346,ALS,iPSMN
ZNF136,0.001580994,0.11028243,ALS,iPSMN
AC022150.1,0.001582473,0.683957625,ALS,iPSMN
GPS1,0.001606259,-0.086018422,ALS,iPSMN
LINC02864,0.001633687,2.78707016,ALS,iPSMN
GABRB2,0.001639445,-0.349882207,ALS,iPSMN
TM7SF2,0.001647248,-0.132913648,ALS,iPSMN
RBBP5,0.001658038,0.076471613,ALS,iPSMN
PCDHGB1,0.001664932,-0.287579635,ALS,iPSMN
AC019171.1,0.001691939,0.661963322,ALS,iPSMN
LHX2,0.001700415,-1.087763703,ALS,iPSMN
VIP,0.001703601,0.984890432,ALS,iPSMN
AC084036.1,0.001705369,0.274169535,ALS,iPSMN
AEN,0.001705955,0.166555853,ALS,iPSMN
CAND2,0.001709154,-0.109061437,ALS,iPSMN
ARMCX5-GPRASP2,0.001711393,-0.172700405,ALS,iPSMN
MAPK15,0.001745839,-0.343388513,ALS,iPSMN
RBM22,0.001764341,0.069861318,ALS,iPSMN
SBDS,0.001765699,0.079529371,ALS,iPSMN
ADAMTS18,0.001777928,-0.58092833,ALS,iPSMN
AC107075.1,0.001781607,-0.379027206,ALS,iPSMN
PTPN20,0.001784012,0.617251458,ALS,iPSMN
TRAPPC9,0.001790755,-0.100076661,ALS,iPSMN
MSLN,0.001793446,-0.437590963,ALS,iPSMN
AC009315.1,0.001806277,-0.302177943,ALS,iPSMN
SMG1P6,0.001807696,0.253304322,ALS,iPSMN
DRAM1,0.001810569,0.220551372,ALS,iPSMN
AC097636.2,0.001812818,0.518046217,ALS,iPSMN
TUBB4B,0.001819205,-0.140673393,ALS,iPSMN
ZNF561,0.001827381,0.079755964,ALS,iPSMN
TXNL1,0.001828875,0.072952343,ALS,iPSMN
LINC00884,0.001843259,0.308528482,ALS,iPSMN
GATD1,0.001874807,-0.117353752,ALS,iPSMN
TMEM87B,0.001881422,0.26291522,ALS,iPSMN
OSCP1,0.001890232,-0.126439494,ALS,iPSMN
MTUS2,0.001910366,-0.22967796,ALS,iPSMN
TMEM273,0.001930778,0.563402622,ALS,iPSMN
SH2B3,0.001943259,0.112782461,ALS,iPSMN
PTCH2,0.001977298,-0.216629746,ALS,iPSMN
MC4R,0.001979427,-0.501414804,ALS,iPSMN
FOXF1,0.001983271,1.015321805,ALS,iPSMN
SH3PXD2B,0.001998432,-0.112765262,ALS,iPSMN
EDEM3,0.002031389,0.081482705,ALS,iPSMN
TMEM201,0.002033865,-0.085907496,ALS,iPSMN
CACNA1S,0.002036391,-0.729068529,ALS,iPSMN
MYCNOS,0.002042789,-0.24208162,ALS,iPSMN
NADK,0.002064619,-0.08721263,ALS,iPSMN
CASC1,0.002064632,-0.24797321,ALS,iPSMN
TYW3,0.0020723,0.356456003,ALS,iPSMN
AC083899.1,0.002075623,0.180095033,ALS,iPSMN
LINC01844,0.002077647,0.236396787,ALS,iPSMN
SPRY4,0.002088897,0.136289206,ALS,iPSMN
ARFGAP3,0.002096289,0.086273038,ALS,iPSMN
PHLDA3,0.002113537,0.143997523,ALS,iPSMN
POTEKP,0.002139189,-0.847885452,ALS,iPSMN
CRYM,0.002139207,-0.375211434,ALS,iPSMN
GATA3-AS1,0.002142558,-0.942432705,ALS,iPSMN
AC068057.2,0.00214591,0.353918831,ALS,iPSMN
RASA4,0.002146251,-0.20609079,ALS,iPSMN
LINC02315,0.002169239,-0.309716479,ALS,iPSMN
HOXC5,0.002169625,0.270900573,ALS,iPSMN
NEU1,0.002169739,0.102936975,ALS,iPSMN
ENO4,0.002174815,-0.263956688,ALS,iPSMN
API5,0.002208573,0.057458077,ALS,iPSMN
FZD5,0.002210367,-0.446165241,ALS,iPSMN
POU5F1P6,0.002215373,-0.469008463,ALS,iPSMN
UBXN11,0.002220481,-0.178459864,ALS,iPSMN
COPB2,0.002221314,0.084985594,ALS,iPSMN
MYOM3,0.002230714,-0.717956105,ALS,iPSMN
MOSPD1,0.002234065,0.111071114,ALS,iPSMN
BMI1,0.002236718,0.095477059,ALS,iPSMN
BAX,0.002242346,0.135358961,ALS,iPSMN
RPS2P55,0.002287024,-0.5869629,ALS,iPSMN
